Source,URL,What it is,Why it fits Melany
PI.FYI,pi.fyi,Perfectly Imperfect — culture & recs community,Your original seed; core taste anchor
Sublime,sublime.app,Beautiful curation & discovery tool,Your original seed; design-forward
Cameron's World,cameronsworld.net,Nostalgic collage of old web GeoCities,Your original seed; scrapbook/analog vibe
Below the Surface,belowthesurface.amsterdam,"Archaeological finds from Amsterdam, gorgeous UI","Interactive beauty, quiet discovery"
The Sound of,thesoundof.love,Music discovery experience,"Sensory, romantic, unexpected"
Every Noise at Once,everynoise.com,Map of every music genre,Endless rabbit-hole discovery
River (Max Bittker),river.maxbittker.com,Meditative generative web art,"Calm, arty, one-of-one web toy"
A Map Of Us (AMOU),amapof.us,A living memory map — people pin personal stories across the world,"Intimate, collaborative, quietly emotional discovery"
Coffee Receipt Stories,coffeereceiptstories.com,Tiny stories drawn on the backs of coffee receipts by Odding,"Analog charm, hand-made, exactly her scrapbook sensibility"
Anna's Secret Garden,annasgarden.vercel.app,A community garden you add hand-drawn flowers to,"Participatory web toy, sweet and collaborative"
Lumitree,lumitree.art,A collaborative digital tree you plant generative micro-worlds on,"Collaborative + growing, same spirit as Anna's Garden"
ssh.place,ssh.place,A shared pixel canvas you draw on together over SSH,"Minimal, communal, delightfully nerdy"
Stowaway,stowaway.live,Ride along with real aircraft & satellites overhead in 3D,"Quietly mesmerizing, beautiful sky rendering"
Tectonic Globe,douwe.com,Rotate Earth's continents across a billion years of deep time,Gorgeous single-creator science-art
High Latency Life (directory),dir.highlatencylife.com,A hand-picked directory of indie/creative web projects,A whole rabbit-hole of web toys to mine
Dwitter,dwitter.net,"Generative art coded in just 140 bytes, community-made","Tiny, clever, endlessly surprising"
WindowSwap,window-swap.com,Look out of a stranger's window somewhere in the world,"Quiet, human, endlessly re-openable"
Radio Garden,radio.garden,Spin the globe and hear live local radio anywhere,Travel + sound + serendipity
Zoomquilt,zoomquilt.org,An infinitely zooming collaborative painting,Hypnotic collective art
Patatap,patatap.com,Your keyboard becomes an audiovisual synth,"Playful, tactile, creative"
This Is Sand,thisissand.com,Pour colored digital sand into layered art,Meditative little maker toy
The Secret Door,thesecretdoor.com,"Click a door, get teleported somewhere in the world",Surprise discovery
Silk,weavesilk.com,Draw shimmering symmetrical generative art,"Beautiful, calming, hand-made feel"
Internet Artifacts,neal.fun/internet-artifacts,A scrollable museum of early-web history,Y2K/old-web nostalgia she loves
WigglyPaint,wigglypaint.art,A wobbly animated drawing tool,"DIY, charming, imperfect"
The Pudding,pudding.cool,Interactive visual essays on pop culture,Smart + gorgeous data storytelling
Library of Babel,libraryofbabel.info,Every possible page of text that could exist,Conceptual rabbit hole
Neave Interactive,neave.com,A classic hub of playful web toys,Deep well of experiments
Koalas to the Max,koalastothemax.com,Split circles to slowly reveal a hidden image,Oddly satisfying
Bongo Cat,bongo.cat,Play instruments as a meme cat,"Silly, joyful, meme-y"
A Soft Murmur,asoftmurmur.com,Mix your own ambient soundscape,Calm sensory tool
MapCrunch,mapcrunch.com,Get dropped at a random Street View anywhere,Wander the world from your desk
Wiki Roulette,wikiroulette.co,Jump to a random Wikipedia article,Serendipity engine
The Useless Web,theuselessweb.com,"One button, one random absurd website",The gateway to the weird web
Pointer Pointer,pointerpointer.com,A photo of someone pointing at your cursor,One perfect dumb idea
Infinite Craft,neal.fun/infinite-craft,Combine elements endlessly to invent new things,Addictive creative sandbox
