Source,URL,What it is,Notes
Eatbook.sg,eatbook.sg,"Local food guide — new openings, reviews, monthly roundups",Great for 'new this month' rotation
The Honeycombers,thehoneycombers.com/singapore,Lifestyle + new restaurants & menus guide,"Well-designed, curated, aesthetic-friendly"
The Ordinary Patrons,ordinarypatrons.com,"Independent SG food blog, hawker to fine dining",Trustworthy independent reviews
SETHLUI.com,sethlui.com,Big SG food review site,"High volume, good coverage"
Ladyironchef,ladyironchef.com,Long-running SG food & lifestyle blog,Established taste authority
Miss Tam Chiak,misstamchiak.com,"Personal SG food blog, strong on local eats","Warm voice, hawker & heritage focus"
Daniel's Food Diary,danielfooddiary.com,Popular SG food blog + cafe coverage,Strong cafe/aesthetic content
WhitePages.sg,whitepages.sg/where-to-eat-in-singapore,Guide organized by cuisine & neighborhood,Good structured 'where to eat' reference
Time Out Singapore,timeout.com/singapore/restaurants,Editorial best-of restaurant lists,"Curated, design-conscious editorial"
Her World (SG),herworld.com/life,Lifestyle mag — aesthetic cafe & dining roundups,"Design-conscious, good for pretty-cafe picks"
City Nomads,citynomads.com,"SG lifestyle, dining & nightlife guide","Curated, trend-aware coverage"
The Smart Local,thesmartlocal.com/eat,"Big SG guide site — food, cafes, hidden gems",Great for quirky & hidden spots
i eat i shoot i post,ieatishootipost.sg,Dr Leslie Tay's long-running heritage-food blog,Deep on hawker & local classics
SG Food on Foot,sgfoodonfoot.com,Local blog covering hawker & neighborhood eats,"Ground-level, unglossy picks"
Camemberu,camemberu.com,"Veteran SG food blog, wide coverage","Reliable, detailed reviews"
Burpple,burpple.com,Community food-discovery platform,"Crowd-sourced, great for trending spots"
HungryGoWhere,hungrygowhere.com,Big SG dining guide & reviews,"Broad, searchable coverage"
Nom.sg,nom.sg,Blog with hidden-cafe & gem roundups,Strong on tucked-away finds
Rachel irl,rachelirl.com,Indie cafe & coffee guides,Curated for serious coffee/vibe
My Singapore Diary,mysingaporediary.com,Local's guide to hidden cafes,Neighborhood-walk discovery energy
AspirantSG,aspirantsg.com,SG lifestyle & food blog,"Events + dining, trend-aware"
The Ranting Panda,therantingpanda.com,Personal SG food & travel blog,"Honest voice, varied spots"
MICHELIN Guide SG,guide.michelin.com/sg,Official Michelin picks for Singapore,"Elevated, from hawker to fine dining"
Tatler Dining SG,tatlerasia.com/dining/singapore,Upscale dining editorial,"Polished, design-forward spots"
CNA Lifestyle,cnalifestyle.channelnewsasia.com,News-outlet lifestyle & food features,"Trustworthy, current"
The Straits Times — Food,straitstimes.com/life/food,Mainstream food journalism,Reliable openings & features
Asia's 50 Best,theworlds50best.com/asia,Regional best-restaurants authority,For special-occasion inspiration
Chope,chope.co,Reservations platform + dining guides,Practical + curated lists
Chye Seng Huat Hardware,search 'CSHH Coffee Singapore',Landmark industrial-chic cafe/roastery,"Iconic space, exactly her aesthetic"
Nylon Coffee Roasters,search 'Nylon Coffee Everton Park',Beloved tiny indie roaster,Craft-first hidden gem
Common Man Coffee Roasters,search 'Common Man Coffee Roasters',Brunch & specialty-coffee institution,"Warm, communal, reliable"
Kurasu Singapore,search 'Kurasu Singapore',Japanese-style specialty coffee,"Minimal, calm, considered"
